Id,Questions,Answer
,What is COSENTYX?,"COSENTYX is a prescription medicine used to treat adults:
• with moderate to severe plaque psoriasis that involves large areas or many areas of the body, and who may
benefit from taking injections or pills (systemic therapy) or phototherapy (treatment using ultraviolet or UV light
alone or with systemic therapy)
• with active psoriatic arthritis
• with active ankylosing spondylitis
COSENTYX may improve your psoriasis, psoriatic arthritis and ankylosing spondylitis but it may also lower the ability
of your immune system to fight infections.
It is not known if COSENTYX is safe and effective in children. "
,How long has COSENTYX been on the market?,"COSENTYX was approved by the FDA in January 2015 to treat moderate to severe plaque psoriasis, in January 2016 to treat active psoriatic arthritis and active ankylosing spondylitis, and in June 2020 to treat non-radiographic axial spondyloarthritis. COSENTYX has already been prescribed to over 160,000 people in the United States. COSENTYX has been studied extensively for more than 12 years in dozens of clinical trials. More clinical trials are still ongoing as we stay committed to studying COSENTYX for people with psoriasis, psoriatic arthritis, ankylosing spondylitis, and non-radiographic axial spondyloarthritis."
,What makes COSENTYX different?,"COSENTYX is a different kind of targeted biologic. It’s the first and most commonly prescribed treatment of its kind and works within your body to target the IL-17A molecule, which is thought to be one of the molecules to play a role in causing inflammation."
,How do I take COSENTYX?,"COSENTYX is taken by injection, either with the Sensoready® Pen device or a prefilled syringe. Your doctor will show you how to take your medication. To help you feel more comfortable or for a live supplemental injection training refresher, make sure to check out the helpful videos and tools below. "
,How do I inject?,"A healthcare provider will show you how to prepare and inject COSENTYX properly before you use it for the first time. If you need a refresher, you can watch our supplemental injection demonstration videos or sign up for live, supplemental virtual injection training by calling 1-844-COSENTYX (1-844-267-3689).You can also download the Sensoready Pen Quick Tips brochure so you have it handy."
,If you stop using Cosentyx,"It is not dangerous to stop using Cosentyx. However, if you stop, your psoriasis, psoriatic arthritis or axial spondyloarthritis symptoms may come back."
,What are the most common side effects?,"The most common side effects may include: cold symptoms, diarrhea, and upper respiratory infections. Keep in mind, these are not all of the possible side effects of COSENTYX. Call your doctor for medical advice about side effects. "
,How well will it work incase of plaque-psoriasis?,"Individual results may vary. In clinical trials, the majority of people taking COSENTYX 300 mg were clear or almost clear at 12 weeks. Approximately 8 out of 10 people saw 75% skin clearance. Approximately 6 out of 10 people saw 90% skin clearance. In clinical trials, many people who saw results at 1 year maintained them at 5 years.† "
,How well will it work incase of psoriatic-arthritis?,"Individual results may vary. In the largest clinical trial ever conducted for psoriatic arthritis, up to 60% of patients saw at least a 20% improvement in psoriatic arthritis symptoms at 16 weeks, with some patients feeling relief as early as 3 weeks."
,How well will it work incase of ankylosing-spondylitis?,"Individual results may vary. Most people who took COSENTYX not only had less spinal pain and stiffness, they also saw improvement in their ability to move, and felt better overall after just 16 weeks compared to placebo. A similar percentage of people saw improvement at 5 years as well."
,When will it start working incase of plaque-psoriasis?,"Individual results may vary. In clinical trials, the majority of people taking COSENTYX 300 mg were clear or almost clear at 12 weeks. Approximately 8 out of 10 people saw 75% skin clearance. Approximately 6 out of 10 people saw 90% skin clearance."
,When will it start working incase of  psoriatic-arthritis?,"Individual results may vary. Up to 60% of patients in a clinical study saw at least a 20% improvement in psoriatic arthritis symptoms at 16 weeks, with some patients feeling relief as early as 3 weeks"
,When will it start working incase of ankylosing-spondylitis  ?,"Individual results may vary. At 16 weeks, approximately 6 out of 10 people noticed at least a 20% improvement in overall symptoms of AS."
,What is the COSENTYX® Connect Personal Support Program?,"COSENTYX® Connect is a free personal support program that’s tailored to your needs right from the start. When you sign up, you’ll have a Personal Support Specialist to answer questions, help you enroll in the $0 co-pay* program if you’re eligible, and help you get COSENTYX through the Covered Until You’re Covered Program|| if there’s a delay in your coverage. You’ll also get personalized tools and services if and when you need them—like a supplemental virtual injection demonstration, and help if your insurance plan changes.For those who are prescribed COSENTYX, the benefits include:                                                            • Your Personal Support Specialist, who will reach out when you get started, to help get your benefits sorted out and get COSENTYX to you as fast as possible. You can continue to stay in touch with your specialist via phone, e-mail, and text throughout your first year of treatment
• $0 co-pay,* if you’re eligible
• Up to 2 years of COSENTYX for free if your commercial prescription coverage isn't initially approved or you're underinsured|| Learn more
• A Welcome Kit with tools, including a Travel Kit, and other resources to help you get started
• A recyclable sharps container
• Supplemental injection training support
• Consumer Brief Summary of Important Safety Information
"
,Will my insurance cover COSENTYX?,"If you have commercial insurance, COSENTYX® Connect or your specialty pharmacy will conduct a benefits investigation to see whether your insurance covers COSENTYX and what your out-of-pocket costs might be.COSENTYX Prescription Coverage
 

If you have commercial or private insurance and your prescription coverage isn't initially approved, you may get up to 2 years of COSENTYX for free through.  Covered Until You're Covered!! while we work with your healthcare provider to try to secure coverage for COSENTYX.

Questions? Please call us at 1-844-COSENTYX (1-844-267-3689) or download the Insurance Coverage Questions brochure."
,How do I get a $0 co-pay?,COSENTYX $0 Co-Pay Program. You could pay nothing for your monthly COSENTYX prescriptions through the $0 co-pay program if you have commercial or private prescription insurance. Start saving today when you sign up for COSENTYX® Connect. Click here to register for a $0 co-pay or call 1-844-COSENTYX (1-844-267-3689) and press option 1.
,What if I don’t qualify for the $0 co-pay* or the Covered Until You’re Covered Program?,Visit Novartis Patient Assistance NOW to get assistance with finding programs that may help you with your Novartis prescription medications. Learn more at www.patientassistancenow.com or by calling 1-800-245-5356.
,How does the cost of COSENTYX compare with other biologics?,"There are a few factors to consider. First, there’s the type of insurance you have and your coverage. There are also differences in initial dosing, maintenance dosing, and the potential for dose adjustments. Because of all these factors, costs can vary widely. While we can't speak to the cost of other biologics, we are committed to making COSENTYX accessible and affordable and offer a number of savings options. Learn more."
,I noticed that the 300-mg pack is 2 x 150 mg. Does it mean 2 injections on the same day incase of plaque-psoriasis?,"Yes. The recommended dose for people with moderate to severe plaque psoriasis is 300 mg, which is taken as 2 injections on 1 day. For some people, a dose of 150 mg may be acceptable, which is 1 injection on 1 day. Please check with your doctor if you have questions about your dose or how to take your medication"
,I noticed that the 300-mg pack is 2 x 150 mg. Does it mean 2 injections on the same day incase of ankylosing-spondylitis?,"The recommended dose is 150 mg, taken as 1 injection under the skin. Your rheumatologist may prescribe 5 weekly doses to get you started. If you’re prescribed 300 mg, you will take 2 separate injections as your dose on 1 day. Please check with your doctor or rheumatologist if you have questions about your dose or how to take your medication."
,I noticed that the 300-mg pack is 2 x 150 mg. Does it mean 2 injections on the same day incase of psoriatic-arthritis?,"The recommended dose is 150 mg, taken as 1 injection under the skin. If you’re prescribed 300 mg, you will take 2 separate injections as your dose on 1 day. Please check with your doctor or rheumatologist if you have questions about your dose or how to take your medication."
,How should I store COSENTYX?,"COSENTYX Sensoready pens, prefilled syringes and vials must be refrigerated at 2ºC to 8ºC (36ºF to 46ºF). Keep the product in the original carton to protect from light until the time of use. Do not freeze. To avoid foaming do not shake. COSENTYX does not contain a preservative; discard any unused portion"
,What it looks like?,"COSENTYX solution for injection is a clear liquid. Its colour may vary from colourless to slightly yellow. COSENTYX is available in packs containing 1 or 2 single-use pre-filled syringes or pens. Ingredients Each COSENTYX pre-filled syringe or pen contains 150 mg secukinumab as the active substance. The other ingredients are: • trehalose dihydrate • histidine • histidine hydrochloride monohydrate  • methionine • polysorbate 80 • water for injection COSENTYX® 8 This medicine does not contain sucrose, lactose, gluten, tartrazine or any other azo dyes."
,If you use more COSENTYX than you should (overdose),"If you or anyone else accidentally received more COSENTYX or sooner than according to the doctor’s prescription, immediately telephone your doctor or the Poisons Information Centre (telephone 0800 764 766) for advice, or go to Accident and Emergency at the nearest hospital. Do this even if there are no obvious signs of discomfort or poisoning."
,If you forget to have it,"If you have forgotten to inject a dose of COSENTYX, inject the next dose as soon as you remember. Then talk to your doctor to discuss when you should inject the next dose. If you are not sure what to do, ask your doctor or pharmacist. If you have trouble remembering to have your medicine, ask your pharmacist for some hints."
,When you must not take it?,"Do not take COSENTYX if you have had a severe allergic reaction to secukinumab, or any of the other ingredients listed at the end of this leaflet. Some of the symptoms of an allergic reaction may include: 
• shortness of breath
• wheezing or difficulty breathing
 • swelling of the face, lips, tongue or other parts of the body
 • rash, itching or hives on the skin
 If you think you may be allergic, ask your doctor for advice before using COSENTYX. 
Do not take COSENTYX if you have an active infection which your doctor thinks is important.
 Do not take COSENTYX if there are visible signs of deterioration. 
Do not take this medicine after the expiry date printed on the pack or if the packaging is torn or shows signs of tampering.
 If it has expired or is damaged, return it to your pharmacist for disposal.
 If you are not sure whether you should start taking this medicine, talk to your doctor.
"
,How much is given for Plaque psoriasis ?,"The recommended dose is 300 mg by subcutaneous injection with initial loading dose at weeks 0, 1, 2, 3, and 4 followed by the same dose every month. Each 300 mg dose is given as two sub-cutaneous injections of 150 mg."
,How much is given for Psoriatic arthritis ?,"The recommended dose is 150 mg by subcutaneous injection with initial dosing at Weeks 0, 1, 2, 3, and 4 followed by the same dose every COSENTYX® 3 month. Based on clinical response, the dose can be increased to 300 mg. For patients who did not respond well to medicines called tumor necrosis factor (TNF) blockers or patient who also have moderate to severe plaque psoriasis, the recommended dose is 300 mg by subcutaneous injection with initial dosing at Weeks 0, 1, 2, 3, and 4 followed by the same dose every month. Each 300 mg dose is given as two subcutaneous injections of 150 mg. COSENTYX may be administered with or without methotrexate."
,How much is given for Ankylosing spondylitis  ?,"The recommended dose is 150 mg by subcutaneous injection with initial dosing at Weeks 0, 1, 2, 3, and 4 followed by monthly maintenance dosing"
,What is the mechanism of action OF Cosentyx ?,"Cosentyx belongs to a class of drugs known as monoclonal antibodies. Cosentyx produces its anti-inflammatory effects by selectively binding to a proinflammatory protein (interleukin-17A cytokine, or IL-17A) that has been secreted from a cell. IL-17A is a naturally occurring cytokine that is involved in normal immune and inflammatory responses. By binding to IL-17A, Cosentyx disrupts the signaling pathway to the IL-17A receptors on other cells, thus inhibiting the release of IL-17A’s inflammatory and immune response effects."
,How are patients treated with Cosentyx® monitored?,Patients may have scheduled meetings with their healthcare provider while they are being treated with Cosentyx. Your doctor should watch you closely for signs and symptoms of tuberculosis before and during treatment with Cosentyx.
,When should patients notify their physician?,"Contact your healthcare professional immediately in case you have any of the signs of infection listed above. If you inject more Cosentyx than prescribed, call your healthcare provider or go to the nearest emergency room right away."
,What is a package insert?,"A package insert is required by the FDA and contains a summary of the essential scientific information needed for the safe and effective use of the drug for healthcare providers and consumers. A package insert typically includes information regarding specific indications, administration schedules, dosing, side effects, contraindications, results from some clinical trials, chemical structure, pharmacokinetics and metabolism of the specific drug. By carefully reviewing the package insert, you will get the most complete and current information about how to safely use this drug. If you do not have the package insert for the drug you are using, your pharmacist or physician may be able to provide you with a copy."
